idea_name,description,general_benefits,region,submitted_estimate,service_line,category,original,actual_benefits_wc,actual_benefits_savings,expert_overview,expert_ease_implementation,expert_scalability,expert_crowd_validation,expert_weighted_avg,judge_overview,judge_ease_implementation,judge_scalability,judge_crowd_validation,judge_weighted_avg,chatgpt_distruption_overview,chatgpt_ease_implementation,chatgpt_scalability,chatgpt_benefits,chatgpt_rationale,finalist,winner
Flatten the Curve - How we can avoid month end peaks,"Task Mining Data for one the team's is indicating they are stretched on WD-1.  It is also showing out 19 analysts, 10 analysts are spending &gt;10hrs. There is spare capacity visible on other month end days.

This month end spike is experienced by all GBS Teams. The above data analytics template is easily scalable and we can FLATTEN THE CURVE for peak periods  ","Improve employee engagement, improve work life balance",APAC,10000,RTR,Task Mining,1,0,0,2,5,4,1,3,  ,  ,  ,  ,  ,3,3,4,4,"This idea is disruptive as it proposes a new way of managing peak periods. It is not entirely new, but it is an upgraded way of managing the current state. The implementation of this idea is not very complex, but it requires some effort to analyze the data and implement the changes. The idea is scalable across different geographies. The benefits of this idea are both quantitative and qualitative, as it improves employee engagement and work-life balance.",0,0
Outlook Automation - It is possible,"Task Mining data for 2 teams covering 40+ analysts and CI Process reviews for OTC, PTP, Tax and Master Data are indicating our teams are spending 20-30% of their time on Outlook, doing tasks that are repetitive in nature, emailing information, chasing and then keeping record for audit etc.","Standardization leading to less rework.

Reducing menial manual tasks will lead employee satisfaction",APAC,1000,RTR,Process Efficiency,1,0,0,2,4,4,2,3,  ,  ,  ,  ,  ,3,3,4,4,"This idea is disruptive as it proposes a new way of managing repetitive tasks. It is not entirely new, but it is an upgraded way of managing the current state. The implementation of this idea is not very complex, but it requires some effort to analyze the data and implement the changes. The idea is scalable across different geographies. The benefits of this idea are both quantitative and qualitative, as it leads to standardization and reduces rework.",0,0
Celonis accelerating SCF enrollment,"Leveraging Celonis, we can easily identify global and regional vendors enrolled in SCF program but not across all of its active geographies. By doing an assessment based on payment method and vendors, we can easily identify that a vendor might be in the program for countries X, Y and Z while not been enrolled yet in countries A, B and C.

Since the vendor is already active in some geographies, we could use this to easily escalate in those where it's not enrolled yet.","Drive Payment Method harmonization escalating SCF where possible and driving business outcomes for Working Capital, Free Cash Flow and Cost Savings Benefits

SCF program drives simplification for payment proposals and its execution across geographies

Strengthen relationship between GBS and Procurement as effective business partners",Global,5000000,PTP,AP-Payment Terms,1,0,0,7,5,8,1,5,  ,  ,  ,  ,  ,4,3,4,,"This idea is disruptive as it proposes a new way of identifying vendors enrolled in SCF program. It is not entirely new, but it is an upgraded way of managing the current state. The implementation of this idea is not very complex, but it requires some effort to analyze the data and implement the changes. The idea is scalable across different geographies. The benefits of this idea are both quantitative and qualitative, as it drives payment method harmonization, simplifies payment proposals, and strengthens the relationship between GBS and Procurement.",0,0
Using Celonis Data / Task Mining for Process Improvement,"Data / Task Mining help companies gaining more insights to their current state, identifying the gaps, providing analytical view of the companies status.

With Celonis in KC, we are able to analyze data more easily, thus saving more buffer timing in identifying gaps and process review.

With the current India Process Review and MYSG CS Process Review, we've identified the gaps and area of improvement for the countries. With Data / Task Mining in place, we're able to expand the area to whole APAC.","- Improved Process efficiencies by creating Cost Savings and Value Creation

- Process Standardization

- Grow our people to be data analytical",APAC,200000,Across Multiple,Process Efficiency,1,0,0,5,5,5,1,4,  ,  ,  ,  ,  ,4,3,4,,"This idea is disruptive as it proposes a new way of gaining insights into the current state and identifying gaps. It is not entirely new, but it is an upgraded way of managing the current state. The implementation of this idea is not very complex, but it requires some effort to analyze the data and implement the changes. The idea is scalable across different geographies. The benefits of this idea are both quantitative and qualitative, as it improves process efficiencies, standardization, and grows people to be data analytical.",0,0
AR KPI Dashboard in Celonis,There's no standard AR KPI Dashboard for APAC region. Currently AR TL is preparing the KPI report manually after month-end closing. The KPI report is use to monitor ARs' daily performance and ensure the SLAs' are met.,"- Proactive action plan on line items exceeding SLA

- Able to view KPI from time to time instead of after month end close",APAC,0,OTC,Process Efficiency,1,0,0,2,7,9,1,5,  ,  ,  ,  ,  ,4,3,4,,"The idea proposes a new way of monitoring ARs' daily performance and ensuring SLAs' are met, which is an upgraded way of the current manual process. However, it requires some level of complexity to implement and is more country-specific.",0,0
Dashboard for SPG in Celonis,"There are no dashboards available in Celonis that could provide a real-time report on how SPG is performing for a set of targeted customers. The current practice is that on a monthly basis, data will be extracted from different platforms in Celonis and later on combined as one summary file. ",Proactive view of the performance of SPG. ,APAC,0,OTC,AR-Payment Terms,1,0,0,2,4,4,1,3,  ,  ,  ,  ,  ,3,3,4,,"The idea proposes a real-time report on how SPG is performing for a set of targeted customers, which is an innovative way of monitoring performance. However, it also requires some level of complexity to implement and is more country-specific.",0,0
Improve Supply Chain Process by tackling the major contributors of Credit Notes Issuance,"There is a high number of Credit Notes processed for Australia. These CN's are specifically related to Logistics. However, we are not able to identify the major contributors in the issuance of CN. The objective of this project is to analyze data derived from system in order to identify the root cause of CN issuance and also taking into account the process flow of the Supply Chain (Logistics).","Championing Customer Relationship

Enhancing the process of CN Issuance

Reducing the number of CN Issuance",APAC,0,OTC,AR-Deductions,1,0,0,2,2,5,4,3,  ,  ,  ,  ,  ,4,2,4,,"The idea proposes analyzing data derived from the system to identify the root cause of CN issuance and enhancing the process of CN issuance, which is an innovative way of reducing the number of CN issuance. It requires a higher level of complexity to implement but has a global impact.",0,0
AutomatizaciÛn de carga de inventarios manuales,"Automatizaci&oacute;n del proceso de carga de inventarios manuales que son recibidos v&iacute;a correo electr&oacute;nico, con archivos en Excel ya que se demora mucho tiempo en buscar homologaciones, precios y otros insumos que son datos indispensables para crear la plantilla de inventarios y posteriormente cargarlo en SIG","Obtener m&aacute;s tiempo para an&aacute;lisis m&aacute;s profundosHacer nuevos reportesDisminuir el error humano y por ende mayor credibilidad y precisi&oacute;n en la dataLas fechas de cierre sean mas efectivasMejorar los porcentajes de desempe&ntilde;o, en general mejorar KPIsMayor balance de vida trabajo en general",LAO,0,PTP,Process Efficiency,1,0,0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3,4,4,,"The idea proposes automating the process of loading manual inventories, which is an upgraded way of the current manual process. It requires a lower level of complexity to implement and has a global impact.",0,0
Automate Compliance checks - Data mining and recs,"1.Action Flow to send out email with list of invoices with T-code FB60, FV60, NO PO nu
2.From the invoice list, execute and download the list in excel.
3.Combine the document number with company code in the AF invoice list and FBL3N report.
4.Apply filter on invoice value:with multiple GLs,only pick up range from GL number 50000000 &ndash; 79999999 with higher value multiple GLs not eqaul to GL 50000000&ndash;79999999, pick higher value",Increase frequency for compliance checks,APAC,100,PTP,Process Efficiency,1,0,0,2,7,7,0,4,  ,  ,  ,  ,  ,3,3,4,,"The idea proposes increasing the frequency for compliance checks, which is an innovative way of ensuring compliance. It requires a moderate level of complexity to implement and has a global impact.",0,0
AR FCF - PREDICT Late payment behavior,"In APAC we have built data analytics by applying machine learning for closed invoices and applied the outcome on Open invoices to predict customers who are going to pay us late.

The above logic can be further scoped to payments falling in first 5 calendar days of following month, and work on collecting those payment within the current month. OTC achieved &gt;$1M saves.",Staff can prioritize work and positive impact on DSO ,APAC,1000000,OTC,Process Efficiency,1,0,0,7,2,5,0,4,  ,  ,  ,  ,  ,4,3,4,,"This idea is innovative and uses machine learning to predict late payment behavior, which is disruptive. However, it requires some level of complexity to implement. It can be applied globally, but the quantitative benefits are not significant.",0,0
Volume Monitoring - Predicting Capacity requirements,"Utilize Process mining tables in Celonis to build analytics covering the following:Build user ID level table tagged to SAP manual activitiesCapture all actual SAP date time stamps for above manual activitiesMaintain a count of manual activities - VOLUMESEnrich table with static data such as, Region, Country, Customer/Vendor, Doc type, Activity type, Cost category-GL, item category, Changes etc",Smarter and leaner model of capacity utilization - higher employee engagement ,Global,10000,Across Multiple,Process Efficiency,1,0,0,10,7,10, -   ,7,3,4,5,3,4,3,4,4,,"This idea uses process mining tables to build analytics and predict capacity requirements, which is slightly innovative. It requires some level of complexity to implement and can be applied globally. The quantitative benefits are not significant.",1,0
OTC Celonis Empowerment,"The objective of this initiative is to adapt and adopt the metrics recorded at month-end to measure our performance on a daily basis and in real time, being more proactive and less reactive.",A more analytical team with reliable sources of information,LAO,0,OTC,Process Efficiency,1,0,0,5,5,5,2,4,  ,  ,  ,  ,  ,2,2,4,,"This idea aims to adapt and adopt metrics to measure performance on a daily basis and in real-time, which is not very disruptive. It is relatively easy to implement and can be applied globally. The benefits are more analytical and reliable sources of information.",0,0
"Trade Promo costs hidden in D&amp;A Tolerance -- Do the Right Thing, Prevent Leakage &amp; Overspend","Consider processing changes to modify AR-cash process to no longer tolerance Trade Promo costs AND/OR take these costs against earned trade (TPM upload) so they can be more accurately recorded as Trade Promotion actuals incurred.

examples:

Supervalu: $3.2M annual mis-stated in financials AND also erroneously leaving customer earned trade spend much higher than it should be. (85% of customer tolerance - see graph)

Kroger: $3M annual previously ---&gt; modified handling mid-2021 (see graph)","correctly stated financial results (of each Reduction in Revenue line)trade spend accuracy - both actuals &amp; forecastingreduce leakage via potential for trade overspend by customers  

note: minimum $3.2M annual benefit on just the Supervalu customer, whereas there is potential to uncover $millions more across all customer accounts when research is conducted.",NA,3200000,OTC,Sales Controlling,1,0,0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3,3,4,4,"This idea aims to modify the AR-cash process to no longer tolerate trade promo costs and accurately record them as trade promotion actuals incurred, which is slightly innovative. It requires some level of complexity to implement and can be applied globally. The benefits are correctly stated financial results, trade spend accuracy, and reduced leakage via potential for trade overspend by customers.",0,0
GBS LAO SERVICE ACCEPTANCE,,,LAO,0,Across Multiple,Process Efficiency,1,0,0,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1,1,1,,There is not enough information to evaluate this idea.,0,0
Reduce Non-PO Invoices in AP,,,Global,4000000000,PTP,AP-PO Management,1,0,0,  ,  ,  ,,  ,  ,,,,  ,2,2,3,2," This idea proposes to reduce the number of non-PO invoices in AP. It is not very disruptive and may not be entirely new, but it offers an upgraded way for a current state. It is not very easy to implement and may be replicable in other geographies. The benefits are mostly qualitative with no quantitative benefits. ",0,0
Distribution Finance-ìGANHA-GANHAî,"Distribution Finance is a Factoring-type program in Brazil launched during the pandemic to prevent payment terms extension to customers and give them through the bank. By doing this, the customers have been preferring to buy from KC, therefore increasing sales thanks to the program. Reason why these Cost Savings are in fact revenue generation (minus the bank fee-interest rate).
USD $??2.8M Revenue GenerationUSD $575K†Cost Savings†
",Revenue Generation,LAO,2800000,OTC,Financial Vehicles,1,0,8478806,7,8,9,2,7,4,2,5,3,3,4,3,2,5," The program is innovative and has resulted in increased sales. However, it may be more complicated to implement in other geographies and requires a partnership with a bank. ",1,0
BOT-FTZ Virtual Plants Automation,"FTZ has virtual mills used to billing finish goods to Central America, Caribbean and Ecuador. The countries send the request through email attaching shipping documents, Intradeops checks these documents and purchase orders related, after that Team proceeds to complete the manual process using SAP transactions zmmlo_miro_zf, zmmlo_report_zf, vf02, v31 and zsdlo902. We want to design an automation to†?execute all process end to end in FTZ virtual mills:???Generate Invoice registration (IR)Generate inventory registration (GR)Generate delivery and shipmentGenerate and post the billing document Send the billing document to electronic billing monitor
†
",Cost Savings,LAO,28000,RTR,AP-GR/IR,1,0,0,4,3,1,6,3,  ,  ,  ,  ,  ,2,4,3,4," The idea proposes automation of a manual process, which can result in cost savings. However, it may require a new technology and may not be easily replicable in other geographies. ",0,0
Payment run optimization,"Weekly review of the payment run proposal file by Credit risk/ Collector to:
?- align payout date with the invoice due date, avoiding too early payouts of credit notes??
??- withhold payouts of credit notes when customer already deducted the credit note
?- avoid payments to customer in case of an overdue balance on customer's account
",Working Capital,EMEA,1200000,OTC,AR-Trade Invoices,1,0,0,4,8,7,3,6,  ,  ,  ,  ,  ,3,5,4,4," The idea proposes a review process that can align payout dates with invoice due dates, resulting in better working capital management. It may require some process changes, but it is easily replicable in other geographies. ",0,0
Cash is King - Term Deposit Initiative in Saudi Arabia,"KC business in†Saudi Arabia is a Joint Venture with Olayan Group. As per the JV agreement, all treasury activities are controlled by Olayan Group. GCC had approx. $20M of cash with Olayan Treasury who used to give interest income to KC†on deposits. On average yearly interest income received was $80K.
?Due to increase in interest rates globally, the deposit rates†with third party banks also increased. A negotiation was led with Olayan to either match the market interest rates or transfer the money to KC so KC can deposit with a third party bank and earn higher interest income. After lots of back and forth, the JV agreed and the deposit rate was negotiated with Al Rajhi Bank in Saudi Arabia.†
",Cost Savings,EMEA,900000,Treasury Ops,Hedging,1,0,0,6,7,1,1,4,2,4,3,2,3,2,3,2,5," The idea proposes a negotiation with a joint venture partner to transfer cash to KC and deposit with a third-party bank to earn higher interest income. It may require negotiation with the partner, but it is easily replicable in other geographies. ",1,0
Clear Agreement,"Clear Agreement with explanation of the conditions and interpretations of payment terms and deductions conditions for Europe KCC-KCP.†
",Working Capital,EMEA,9600000,OTC,AR-Payment Terms,1,0,0,5,7,7,4,6,  ,  ,  ,  ,  ,1,5,4,4," The idea proposes a clear agreement with explanations of payment terms and deductions conditions, resulting in better working capital management. It may require some legal work, but it is easily replicable in other geographies. ",0,0
Mix it up! Vendors and Customers' Terms,"What if we start buying more from vendors with largest terms and selling more to customers that pay faster? This way we'll be generating both working capital and cost savings (WACC related) benefits. After focusing for years on extending terms for vendors and collecting faster from customers, this idea will bring a whole new perspective to keep adding value in regards. While still challenging, it's another way of having these conversations with Procurement and Customers' teams
",Working Capital,Global,0,OTC-PTP,Working Capital,1,0,0,5,5,7,1,5,  ,  ,  ,  ,  ,4,3,3,,"This idea proposes a new perspective on generating working capital and cost savings by buying more from vendors with largest terms and selling more to customers that pay faster. While still challenging, it's a creative process that can bring a different and upgraded way for a current state. The ease of implementation is moderate, as it requires conversations with Procurement and Customers' teams. The geographical scalation is moderate, as it can be applied worldwide. The benefits are both quantitative and qualitative, scoring higher than other ideas.",0,0
Customers Payment Terms Harmonization,"Throughout Celonis input a Payment Term Analysis can be easily done identifying global and regional opportunities and defining strategy by region:
??1. EMEA: Starting with KCP having BUNZL as a proof of concept to standardize terms of the customer across the region.
??2. APAC/LAO: Focusing in† accounts by channel group†to leverage a harmonization.†

",Working Capital,Global,5000000,OTC,Financial Vehicles,1,0,0,8,6,8,2,6,  ,  ,  ,  ,  ,3,2,4,,"This idea proposes a Payment Term Analysis to identify global and regional opportunities and define a strategy by region. The disruption overview is moderate, as it focuses on harmonizing payment terms. The ease of implementation is relatively easy, as it can be done through Celonis. The geographical scalation is high, as it can be applied to different regions. The benefits are both quantitative and qualitative, scoring higher than other ideas.",0,0
Game Rules Document Design for C&C,"Since the migration from Sales Controlling to GBS, there was no game rules document for C&C, causing impacts on P&L due to issues of verbal agreements, due to the lack of knowledge of clients regarding KC policies
",Cost Savings,LAO,152000,OTC,AR-Trade Invoices,1,0,0,4,4,2,1,3,  ,  ,  ,  ,  ,2,1,2,,"This idea proposes a game rules document for C&C to avoid issues of verbal agreements and impacts on P&L due to the lack of knowledge of clients regarding KC policies. The disruption overview is low, as it's a standard process. The ease of implementation is easy, as it only requires designing a document. The geographical scalation is low, as it's a specific process. The benefits are mainly cost savings, scoring lower than other ideas.",0,0
AR-Credit Notes Reversals,"Depending on Balance Confirmations and latest receivables' status, evaluate accruals' reversals from trade allowances and trade promotional activities from customers with open items from 2020 and previous years. Therefore being able to be refunded to the company since will not be used, also reinforcing controls and compliance while benefiting PnL results.
??
",Cost Savings,Global,300000,OTC,PnL Benefit,1,0,0,2,5,10,1,4,  ,  ,  ,  ,  ,2,2,3,,"This idea proposes evaluating accruals' reversals from trade allowances and trade promotional activities from customers with open items from 2020 and previous years. The disruption overview is low, as it's a standard process. The ease of implementation is moderate, as it requires evaluating accruals. The geographical scalation is moderate, as it can be applied to different regions. The benefits are mainly cost savings, scoring lower than other ideas.",0,0
Take it all back - reduction of invalid deductions on Amazon's accounts,"The goal is to clear 400K USD of deductions posted in 2022 and prior on Amazon accounts (France, UK, Spain, Italy, Germany). 
Detailed root cause analysis run and fixes in place to avoid similar claims in the future. This includes the correct set  up of prices, product details in the catalogue (product codes and prices), timely shipments of ordered products or informing Amazon about order delivery changes up front in orders to avoid penalties.
Having proper backup to proof claim invalidity, escalations with AVS/Amazon to recover incorrectly deducted amounts. Account Managers/ KC to be involved in settlement agreements with Amazon and contract changes, if needed.
",Working Capital,EMEA,400000,OTC,AR-Deductions,1,0,0,2,2,5,3,3,  ,  ,  ,  ,  ,3,3,3,,"This idea proposes clearing 400K USD of deductions posted in 2022 and prior on Amazon accounts by running a root cause analysis and fixing issues to avoid similar claims in the future. The disruption overview is moderate, as it focuses on reducing invalid deductions. The ease of implementation is moderate, as it requires running a root cause analysis and fixing issues. The geographical scalation is moderate, as it can be applied to different regions. The benefits are mainly working capital, scoring lower than other ideas.",0,0
Why wait? Early Payment Programs,"Accelerated payment of approved invoices via customer's portal/ dedicated platform†for a small fee/discount.††?This allows†?turning Sales into Cash flow earlier than expected†at rates that are often less ?than the cost of borrowing short-term working capital.
?Customers offer early payment through their portals†for a cost of 3.7%-6.86% fee at the moment. Others signed up to dedicated programs and offer early payment via platforms where we make an offer and decide what discount we can offer†in exchange for early payment.†?We are in control and can determine which invoices should be paid earlier.??Benefits:
ï low cost -†creates a new working capital option at a relatively low†rate†
??ï useful: Lowers days sales outstanding (DSO)
ï flexibility: eliminates paperwork and contracts with on-demand access?
ï secure: provides secure access to view your approved invoices?
ï simple: it's a few clicks to initiate the early payment and the†payment process doesn't change
",Working Capital,EMEA,7300000,OTC,Financial Vehicles,1,0,0,8,2,2,3,4,2,3,4,2,3,4,5,5,4, This idea is disruptive as it offers a new way to access working capital at a relatively low rate. It is easy to implement as it only requires setting up a platform or portal for customers to access. It can be scaled globally as it is not country-specific. The benefits include improving working capital and reducing DSO. ,1,0
Deductions improvement,"?Deductions root cause analysis, putting fixes in place to avoid new deductions, escalation of existing invalid claims,†which should lead to overall deductions level†decrease Dec 2023 vs Dec 2022.†?†
?Pricing related deductions - pricing set up process review, educating Account Managers about proper recording of promotional activities in the system, improving communication related to Cost Price Increases, involving Account Managers to escalate invalid claims and sharing solid back up for the invoiced prices.
Shortage claims - detailed investigation by order management Team in order to identify root cause for shortages/logistics issues, cooperation with Account Manager to†reduce???.
?Rebate deductions - communication -†involvement of Account manager early in the process to ensure prompt repayment of the invalid rebates; improvement on communicating rebate calculations / rates to customers to increase accuracy.†??
?Penalties - making sure local law is respected and penalties not deducted without KC's prior approval (France); detailed investigation of the root causes for penalty charges and setting corrective actions.††
?
?
",Working Capital,EMEA,2000000,OTC,AR-Deductions,1,0,0,5,5,6,5,5,  ,  ,  ,  ,  ,3,4,5,3, This idea is not as disruptive as it involves root cause analysis and process improvements. It is moderately easy to implement as it requires cooperation between different teams and departments. It can be scaled globally as it is not country-specific. The benefits include reducing deductions and improving working capital. ,0,0
Think Smart - Colombia Hedge Cost Saving ,"Coverage cost saving†for having declared as ""not payable in the near future"" (NPIFF) from total of Colombia's debt at the end of December 2022, was $125 million.
",Cost Savings,LAO,7500000,Treasury Ops,Hedging,1,750000,,4,8,2,10,6,  ,  ,  ,  ,  ,2,2,5,4, This idea is not very disruptive as it involves cost savings through a financial strategy. It is moderately difficult to implement as it requires financial expertise and analysis. It can be scaled globally as it is a financial strategy. The benefits include cost savings. ,0,0
Mailbox Automation,"Mailbox Automation.†?Several departments manage Mailboxes, which require efficient use, visibility of pending, tracking of requests, among others. Automation that allows replication between areas would be of great support to the work teams.",Other,LAO,1000,Across Multiple,Process Efficiency,1,0,0,1,8,5,5,5,  ,  ,  ,  ,  ,2,3,5,2, This idea is not very disruptive as it involves automation of an existing process. It is moderately easy to implement as it requires setting up automation software. It can be scaled globally as it is not country-specific. The benefits include improving efficiency in mailbox management. ,0,0
Non Standard payment Terms analysis (AP and AR),"Driving payment terms harmonization embracing clarity and simplicity to improve customers collections and vendor payments.Example: AP- Paid at the end of the month: This can be interpreted to be paid on the last day of the month created, if the documents were billed on the 15TH will be paid 15 days later.The Correct payment term should be: AP past due over 30, creating a 15 days improvement of FCF.
",Working Capital,Global,1500000,OTC-PTP,Working Capital,1,0,0,5,6,6,4,5,  ,  ,  ,  ,  ,3,2,4,,"This idea proposes creating clarity in ambiguous payment terms to improve the cash cycle. It is not highly disruptive, but it is relatively easy to implement in the short-term. It is not specific to any geography, so it can be replicated globally. The benefits include easier payment reconciliation, disputes management, less payment runs needed, better understanding of metrics and data analysis, and process enhancement having payment terms harmonization.",0,0
To infinity and beyond! - Bank Structure Simplification Project,"During 2021 the bank accounts for LAO was 103 vs. 92 resulting in 11 accounts ($34K) and process inefficiencies (227 hours)
",Cost Savings,LAO,34420,Treasury Ops,Treasury Ops,1,0,0,3,3,3,10,4,  ,  ,  ,  ,  ,3,4,2,,"This idea proposes to simplify the bank structure, which is not entirely new but can bring process efficiencies and cost savings. It is not very disruptive but can be implemented in the mid-term. It is not very scalable globally. The benefits are mainly cost savings.",0,0
Global and regional accounts payment terms alignment,"Top Global & Regional Customers currently operating within the same channel group have†different payment terms.?In the project the goal is to standardize payment for Albert Heijn and implement 1 payment term the same for all accounts within the group.†?Majority of the AH group†customers have 30 days payment terms with 1% discount - Albert Heijn (NL), Bol.com (NL), Etos (NL), while Delhaize (BE)†is at 75 days after invoice terms, Pingo Doce (PT) at 35 days 1% and ?Albert ?esk· Republika†?s.r.o. (CZ) at†80 days.†
??
",Working Capital,EMEA,1800000,OTC,AR-Payment Terms,1,0,0,4,6,8,3,5,  ,  ,  ,  ,  ,2,3,4,,"This idea aims to standardize payment terms for top global and regional customers, which is not very disruptive but can improve working capital. It can be implemented in the mid-term and is scalable globally. The benefits are mainly working capital improvement.",0,0
Credit Cards or Fear?,"A cross-functional team was defined including representatives from Accounts Payables, T&E, Treasury and iHub to further assess the opportunity in the region and focus in countries where the program was feasible and viable. While being active in some countries,†the program was finally created in Colombia as a pilot with the team delivering around US$1.3M in Working Capital and are now asking for a credit limit increase to fulfill the potential of over US$2.5M from mapped vendors specially Non-PO where actions are normally more limited.
",Working Capital,LAO,2500000,PTP,Financial Vehicles,1,7818675,601483,7,4,4,8,6,  ,  ,  ,  ,  ,4,3,2,,"This idea proposes to use credit cards to improve working capital, which is a more disruptive approach. It can be implemented in the short-term and is not very scalable globally. The benefits are mainly working capital improvement, and the quantitative benefits are significant.",0,0
Trade Financing programmes,"By partnering with the right banking partner and promoting the use of Trade Financings and Supply Chain Financing, KC would be able to improve working capital significantly;
> Trade Financings would allow KC to have more control over our balance sheet by managing our accounts payables and accounts receivables with the bank. Banking products includes Bill discounting, receivables financing, invoice discountings, banker acceptance, etc.
> Supply Chain Financing will help KC's stakeholders such as customers to buy and stock more SKUs from KC, and vendors to get paid earlier than agreed credit terms. This promotes a win-win solution to the whole business ecosystem (KC, Customers and Vendors)
??
",Working Capital,APAC,1000000,Treasury Ops,Financial Vehicles,1,0,0,7,4,6,1,5,  ,  ,  ,  ,  ,2,4,4,,This idea proposes to partner with a banking partner to improve working capital through trade financing and supply chain financing. It is not very disruptive but can be implemented in the mid-term and is scalable globally. The benefits are mainly working capital improvement.,0,0
Cash Saving of USD3mil from hedging cost,"Kimberly-Clark India expanded into the fem-care market. In order to get the business off the ground and running successfully, they incurred significant spending leading to obtaining borrowings from In-house Bank (more than USD100mil).
However the volatility of USD against INR poses a significant risk to the business, and requires hedging to manage this risk, but with a cost of USD200,000 a month.
?By designating the borrowings as Not Payable in Foreseeable Future (NPIFF) in accordance to the allowed accounting concept, the FX risk is removed from Income Statement and eventually hedging is not required anymore, hence saving the USD200,000 monthly hedging cost.
??
",Cost Savings,APAC,3000000,Treasury Ops,Hedging,1,0,0,7,8,8,1,6,  ,  ,  ,  ,  ,3,2,2,,This idea proposes to save hedging costs by designating borrowings as Not Payable in Foreseeable Future. It is not very disruptive but can bring cost savings. It can be implemented in the short-term and is not very scalable globally. The benefits are mainly cost savings.,0,0
Provision for Doubtful Debts Excluding Deductions ,"Deductions usually encompass of†?other allowances representing legitimate marketing, sales or other adjustments granted to customers for those types of activities or adjustments granted to ""credit risk"" customers where K-C continues to sell products. Hence, it†(doc type: DA and AB)†should be excluded from the provision for doubtful debt calculation as part of CFI 42-20(F).†
",Cost Savings,APAC,4000000,OTC,PnL Benefit,1,0,0,4,10,10,3,7,  ,  ,  ,  ,  ,3,4,4,3," This idea proposes to exclude deductions from the provision for doubtful debt calculation, which could lead to cost savings. While it is not entirely new, it represents an upgraded way of calculating the provision. It is not very easy to implement, as it requires changes to the calculation process, but it is feasible in the mid-term. It is applicable globally. The benefits are mainly cost savings, but there are no quantitative benefits provided. ",0,0
Reduce FX exposure by timing the corporate events accurately,"?Cash repatriation in the form of dividend is usual in the organisation. Most of the time, dividends are declared and paid in local domestic currency which the business is located (example: MYR for Malaysia business), while the recipients are usually Kimberly-Clark Corporation based in USA.
?There is a long time gap (between 2 weeks to 1 month)†between the initiation of the dividend exercise, from the time of dividend declared by the board of directors, accounting for the dividends, paying it and finally receiving it. This exposes the dividend event to FX risk, and since the amount is huge, the exposure is also huge too.
",Cost Savings,APAC,1000000,Treasury Ops,Hedging,1,0,0,6,5,5,1,4,2,3,4,2,3,3,3,4,3," This idea proposes to reduce FX exposure by timing the corporate events accurately, which could lead to cost savings. While it is not entirely new, it represents an upgraded way of managing FX risk. It is not very easy to implement, as it requires changes to the timing of corporate events, but it is feasible in the mid-term. It is applicable globally. The benefits are mainly cost savings, but there are no quantitative benefits provided. ",1,0
Alive with Automation,"Stepping into new evolution using automation in Master Data on†pricing and customer domain.
T??o†change from manual†process to automation of the intake process using Power Apps/Macro and upload into SAP†on Pricing and†customer creation/change request with minimum human involvement.
* ?This will be leveraged to Global MDM for other region†once all phases are live.
?
?
?
",Other,APAC,0,Masterdata,Process Efficiency,1,0,0,4,6,8,7,6,  ,  ,  ,  ,  ,4,2,4,4," This idea proposes to automate the intake process for pricing and customer creation/change requests, which could lead to process efficiency. It represents a disruptive change from manual processes to automation. It is not very easy to implement, as it requires changes to the intake process and the use of new technology, but it is feasible in the long-term. It is applicable globally. The benefits are mainly process efficiency, but there are no quantitative benefits provided. ",0,0
AR Offset with Accrued Liability,"It takes an average of 1-3 months for a claim to get through the validation process where customers had deducted/withheld the sales deduction payments until the process is completed. The offset is to reflect the true AR position and this is also a global practice.
",Working Capital,APAC,9000000,OTC,AR-Trade Invoices,1,7373040,844687,6,8,2,3,5,  ,  ,  ,  ,  ,2,3,4,5," This idea proposes to reflect the true AR position by offsetting it with accrued liability, which could lead to working capital improvement. It is not a very disruptive change, as it is a global practice, but it represents an upgraded way of managing AR. It is not very easy to implement, as it requires changes to the AR calculation process, but it is feasible in the short-term. It is applicable globally. The benefits are mainly working capital improvement, with a quantitative benefit provided. ",0,0
Automation of MX Statutory Reporting - PO/Invoice Details,"For statutory reporting purposes,†the Mexican Government requires a clear reconciliation of all raw materials received matched with invoices paid. To do this, the Nogales team must manually look up invoice numbers for each PO.† This can easily be over 5000 line items at approximately 2-3 minutes per item.† By automating this work, we could save up to 250 hours.†

Business Owner: Roberto Arriaga
OPEX Owner: Jordan Bevers
",Other,NA,0,RTR,Process Efficiency,1,0,0,2,8,2,1,4,  ,  ,  ,  ,  ,3,2,4,4," This idea proposes to automate the reconciliation of raw materials received with invoices paid for statutory reporting purposes, which could lead to process efficiency. While it is not entirely new, it represents an upgraded way of managing the reconciliation process. It is not very easy to implement, as it requires changes to the reconciliation process and the use of new technology, but it is feasible in the long-term. It is applicable globally. The benefits are mainly process efficiency, but there are no quantitative benefits provided. ",0,0
